x,y,date,driver_number,led_num
416,3549,2023-08-27T12:58:58.794Z,23,49
-4,2462,2023-08-27T12:58:58.794Z,24,46
-105,2201,2023-08-27T12:58:58.794Z,27,46
16,2518,2023-08-27T12:58:58.794Z,31,46
-120,2164,2023-08-27T12:58:58.794Z,40,46
-55,2332,2023-08-27T12:58:58.794Z,44,46
408,3530,2023-08-27T12:58:58.794Z,55,49
416,3548,2023-08-27T12:58:58.794Z,63,49
-40,2369,2023-08-27T12:58:58.794Z,77,46
399,3507,2023-08-27T12:58:58.794Z,81,49
407,3525,2023-08-27T12:58:58.974Z,1,49
306,3264,2023-08-27T12:58:58.974Z,2,48
306,3264,2023-08-27T12:58:58.974Z,4,48
305,3264,2023-08-27T12:58:58.974Z,10,48
430,3586,2023-08-27T12:58:58.974Z,11,49
313,3283,2023-08-27T12:58:58.974Z,14,48
-52,2338,2023-08-27T12:58:58.974Z,16,46
305,3264,2023-08-27T12:58:58.974Z,18,48
1032,4857,2023-08-27T12:58:58.974Z,20,52
-118,2167,2023-08-27T12:58:58.974Z,22,46
416,3549,2023-08-27T12:58:58.974Z,23,49
-4,2462,2023-08-27T12:58:58.974Z,24,46
-105,2201,2023-08-27T12:58:58.974Z,27,46
16,2518,2023-08-27T12:58:58.974Z,31,46
-120,2164,2023-08-27T12:58:58.974Z,40,46
-55,2332,2023-08-27T12:58:58.974Z,44,46
408,3530,2023-08-27T12:58:58.974Z,55,49
416,3548,2023-08-27T12:58:58.974Z,63,49
-40,2369,2023-08-27T12:58:58.974Z,77,46
399,3507,2023-08-27T12:58:58.974Z,81,49
407,3525,2023-08-27T12:58:59.234Z,1,49
306,3264,2023-08-27T12:58:59.234Z,2,48
306,3264,2023-08-27T12:58:59.234Z,4,48
305,3264,2023-08-27T12:58:59.234Z,10,48
430,3586,2023-08-27T12:58:59.234Z,11,49
313,3283,2023-08-27T12:58:59.234Z,14,48
-52,2338,2023-08-27T12:58:59.234Z,16,46
305,3264,2023-08-27T12:58:59.234Z,18,48
1032,4857,2023-08-27T12:58:59.234Z,20,52
-118,2167,2023-08-27T12:58:59.234Z,22,46
416,3549,2023-08-27T12:58:59.234Z,23,49
-4,2462,2023-08-27T12:58:59.234Z,24,46
-105,2201,2023-08-27T12:58:59.234Z,27,46
16,2518,2023-08-27T12:58:59.234Z,31,46
-120,2164,2023-08-27T12:58:59.234Z,40,46
-55,2332,2023-08-27T12:58:59.234Z,44,46
408,3530,2023-08-27T12:58:59.234Z,55,49
416,3548,2023-08-27T12:58:59.234Z,63,49
-40,2369,2023-08-27T12:58:59.234Z,77,46
399,3507,2023-08-27T12:58:59.234Z,81,49
407,3525,2023-08-27T12:58:59.434Z,1,49
306,3264,2023-08-27T12:58:59.434Z,2,48
306,3264,2023-08-27T12:58:59.434Z,4,48
305,3264,2023-08-27T12:58:59.434Z,10,48
430,3586,2023-08-27T12:58:59.434Z,11,49
313,3283,2023-08-27T12:58:59.434Z,14,48
-52,2338,2023-08-27T12:58:59.434Z,16,46
305,3264,2023-08-27T12:58:59.434Z,18,48
1032,4857,2023-08-27T12:58:59.434Z,20,52
-118,2167,2023-08-27T12:58:59.434Z,22,46
416,3549,2023-08-27T12:58:59.434Z,23,49
-4,2462,2023-08-27T12:58:59.434Z,24,46
-105,2201,2023-08-27T12:58:59.434Z,27,46
16,2518,2023-08-27T12:58:59.434Z,31,46
-120,2164,2023-08-27T12:58:59.434Z,40,46
-55,2332,2023-08-27T12:58:59.434Z,44,46
408,3530,2023-08-27T12:58:59.434Z,55,49
416,3548,2023-08-27T12:58:59.434Z,63,49
-40,2369,2023-08-27T12:58:59.434Z,77,46
399,3507,2023-08-27T12:58:59.434Z,81,49
407,3525,2023-08-27T12:59:00.455Z,1,49
306,3264,2023-08-27T12:59:00.455Z,2,48
306,3264,2023-08-27T12:59:00.455Z,4,48
305,3264,2023-08-27T12:59:00.455Z,10,48
430,3586,2023-08-27T12:59:00.455Z,11,49
313,3283,2023-08-27T12:59:00.455Z,14,48
-52,2338,2023-08-27T12:59:00.455Z,16,46
305,3264,2023-08-27T12:59:00.455Z,18,48
1032,4857,2023-08-27T12:59:00.455Z,20,52
-118,2167,2023-08-27T12:59:00.455Z,22,46
416,3549,2023-08-27T12:59:00.455Z,23,49
-4,2462,2023-08-27T12:59:00.455Z,24,46
-105,2201,2023-08-27T12:59:00.455Z,27,46
16,2518,2023-08-27T12:59:00.455Z,31,46
-120,2164,2023-08-27T12:59:00.455Z,40,46
-55,2332,2023-08-27T12:59:00.455Z,44,46
408,3530,2023-08-27T12:59:00.455Z,55,49
416,3548,2023-08-27T12:59:00.455Z,63,49
-40,2369,2023-08-27T12:59:00.455Z,77,46
399,3507,2023-08-27T12:59:00.455Z,81,49
407,3525,2023-08-27T12:59:00.795Z,1,49
306,3264,2023-08-27T12:59:00.795Z,2,48
306,3264,2023-08-27T12:59:00.795Z,4,48
305,3264,2023-08-27T12:59:00.795Z,10,48
430,3586,2023-08-27T12:59:00.795Z,11,49
313,3283,2023-08-27T12:59:00.795Z,14,48
-52,2338,2023-08-27T12:59:00.795Z,16,46
305,3264,2023-08-27T12:59:00.795Z,18,48
1032,4857,2023-08-27T12:59:00.795Z,20,52
-118,2167,2023-08-27T12:59:00.795Z,22,46
416,3549,2023-08-27T12:59:00.795Z,23,49
